C4S track file / LorettOrbital 0.0.4
StationName: C4STest
Station Position: 37.3325° 55.6442° 0.159km
Satellite: METEOR-M2 2
Start date & time: 2023-04-08   01:26:20 UTC
Orbit: 19532
Time (UTC)   Azimuth (deg:min)   Elevation (deg:min)

01:26:20   016:22   055:00
01:26:21   016:21   055:22
01:26:22   016:20   055:45
01:26:23   016:19   056:09
01:26:24   016:18   056:32
01:26:25   016:17   056:56
01:26:26   016:16   057:19
01:26:27   016:15   057:43
01:26:28   016:14   058:07
01:26:29   016:13   058:32
01:26:30   016:12   058:56
01:26:31   016:11   059:21
01:26:32   016:09   059:45
01:26:33   016:08   060:10
01:26:34   016:07   060:35
01:26:35   016:05   061:01
01:26:36   016:04   061:26
01:26:37   016:02   061:52
01:26:38   016:01   062:17
01:26:39   015:59   062:43
01:26:40   015:57   063:09
01:26:41   015:56   063:36
01:26:42   015:54   064:02
01:26:43   015:52   064:28
01:26:44   015:50   064:55
01:26:45   015:48   065:22
01:26:46   015:45   065:49
01:26:47   015:43   066:16
01:26:48   015:41   066:44
01:26:49   015:38   067:11
01:26:50   015:35   067:39
01:26:51   015:33   068:06
01:26:52   015:30   068:34
01:26:53   015:27   069:02
01:26:54   015:23   069:31
01:26:55   015:20   069:59
01:26:56   015:16   070:27
01:26:57   015:12   070:56
01:26:58   015:08   071:25
01:26:59   015:04   071:54
01:27:00   014:59   072:23
01:27:01   014:55   072:52
01:27:02   014:49   073:21
01:27:03   014:44   073:51
01:27:04   014:38   074:20
01:27:05   014:32   074:50
01:27:06   014:25   075:20
01:27:07   014:18   075:49
01:27:08   014:10   076:19
01:27:09   014:01   076:49
01:27:10   013:52   077:20
01:27:11   013:42   077:50
01:27:12   013:31   078:20
01:27:13   013:19   078:51
01:27:14   013:06   079:21
01:27:15   012:52   079:52
01:27:16   012:36   080:22
01:27:17   012:18   080:53
01:27:18   011:58   081:24
01:27:19   011:35   081:55
01:27:20   011:09   082:26
01:27:21   010:40   082:57
01:27:22   010:05   083:28
01:27:23   009:25   083:58
01:27:24   008:36   084:29
01:27:25   007:38   085:00
01:27:26   006:27   085:31
01:27:27   004:56   086:02
01:27:28   002:59   086:32
01:27:29   000:21   087:03
01:27:30   356:39   087:32
01:27:31   351:06   088:01
01:27:32   342:07   088:28
01:27:33   326:25   088:51
01:27:34   299:27   089:05
01:27:35   266:44   089:02
01:27:36   243:32   088:45
01:27:37   230:25   088:20
01:27:38   222:46   087:52
01:27:39   217:54   087:23
01:27:40   214:35   086:53
01:27:41   212:12   086:23
01:27:42   210:24   085:52
01:27:43   209:00   085:21
01:27:44   207:53   084:51
01:27:45   206:59   084:20
01:27:46   206:13   083:49
01:27:47   205:35   083:18
01:27:48   205:02   082:47
01:27:49   204:33   082:16
01:27:50   204:09   081:45
01:27:51   203:47   081:14
01:27:52   203:27   080:43
01:27:53   203:10   080:13
01:27:54   202:55   079:42
01:27:55   202:41   079:11
01:27:56   202:28   078:41
01:27:57   202:16   078:10
01:27:58   202:06   077:40
01:27:59   201:56   077:10
01:28:00   201:47   076:40
01:28:01   201:39   076:09
01:28:02   201:31   075:39
01:28:03   201:24   075:10
01:28:04   201:17   074:40
01:28:05   201:11   074:10
01:28:06   201:05   073:41
01:28:07   201:00   073:11
01:28:08   200:55   072:42
01:28:09   200:50   072:13
01:28:10   200:46   071:44
01:28:11   200:41   071:15
01:28:12   200:37   070:46
01:28:13   200:34   070:17
01:28:14   200:30   069:49
01:28:15   200:27   069:20
01:28:16   200:23   068:52
01:28:17   200:20   068:24
01:28:18   200:17   067:56
01:28:19   200:15   067:28
01:28:20   200:12   067:01
01:28:21   200:09   066:33
01:28:22   200:07   066:06
01:28:23   200:05   065:39
01:28:24   200:03   065:12
01:28:25   200:00   064:45
01:28:26   199:58   064:18
01:28:27   199:57   063:51
01:28:28   199:55   063:25
01:28:29   199:53   062:59
01:28:30   199:51   062:33
01:28:31   199:50   062:07
01:28:32   199:48   061:41
01:28:33   199:46   061:15
01:28:34   199:45   060:50
01:28:35   199:44   060:25
01:28:36   199:42   060:00
01:28:37   199:41   059:35
01:28:38   199:40   059:10
01:28:39   199:38   058:45
01:28:40   199:37   058:21
01:28:41   199:36   057:57
01:28:42   199:35   057:33
01:28:43   199:34   057:09
01:28:44   199:33   056:45
01:28:45   199:32   056:21
01:28:46   199:31   055:58
01:28:47   199:30   055:35
