C4S track file / LorettOrbital 0.0.4
StationName: C4STest
Station Position: 68.994° 61.0014° 0.06km
Satellite: METOP-C
Start date & time: 2023-04-14   05:34:18 UTC
Orbit: 23003
Time (UTC)   Azimuth (deg:min)   Elevation (deg:min)

05:34:18   051:05   054:59
05:34:19   051:33   055:18
05:34:20   052:01   055:36
05:34:21   052:29   055:54
05:34:22   052:59   056:12
05:34:23   053:29   056:30
05:34:24   053:59   056:48
05:34:25   054:31   057:06
05:34:26   055:03   057:24
05:34:27   055:35   057:42
05:34:28   056:09   057:59
05:34:29   056:43   058:17
05:34:30   057:18   058:35
05:34:31   057:53   058:52
05:34:32   058:30   059:10
05:34:33   059:07   059:27
05:34:34   059:45   059:45
05:34:35   060:24   060:02
05:34:36   061:04   060:19
05:34:37   061:45   060:36
05:34:38   062:26   060:53
05:34:39   063:09   061:09
05:34:40   063:53   061:26
05:34:41   064:37   061:42
05:34:42   065:23   061:58
05:34:43   066:09   062:14
05:34:44   066:56   062:30
05:34:45   067:45   062:46
05:34:46   068:35   063:01
05:34:47   069:25   063:16
05:34:48   070:17   063:31
05:34:49   071:10   063:45
05:34:50   072:03   063:59
05:34:51   072:58   064:13
05:34:52   073:55   064:27
05:34:53   074:52   064:40
05:34:54   075:50   064:53
05:34:55   076:49   065:06
05:34:56   077:50   065:18
05:34:57   078:51   065:30
05:34:58   079:54   065:41
05:34:59   080:58   065:52
05:35:00   082:03   066:03
05:35:01   083:09   066:13
05:35:02   084:15   066:23
05:35:03   085:23   066:32
05:35:04   086:32   066:41
05:35:05   087:42   066:49
05:35:06   088:52   066:57
05:35:07   090:04   067:04
05:35:08   091:16   067:11
05:35:09   092:29   067:17
05:35:10   093:43   067:22
05:35:11   094:57   067:27
05:35:12   096:12   067:32
05:35:13   097:27   067:36
05:35:14   098:43   067:39
05:35:15   099:59   067:42
05:35:16   101:16   067:44
05:35:17   102:33   067:45
05:35:18   103:49   067:46
05:35:19   105:06   067:46
05:35:20   106:23   067:46
05:35:21   107:40   067:45
05:35:22   108:57   067:43
05:35:23   110:13   067:41
05:35:24   111:29   067:38
05:35:25   112:45   067:35
05:35:26   114:00   067:31
05:35:27   115:15   067:26
05:35:28   116:29   067:21
05:35:29   117:43   067:15
05:35:30   118:56   067:09
05:35:31   120:08   067:02
05:35:32   121:19   066:55
05:35:33   122:30   066:47
05:35:34   123:39   066:39
05:35:35   124:48   066:30
05:35:36   125:56   066:21
05:35:37   127:02   066:11
05:35:38   128:08   066:01
05:35:39   129:13   065:50
05:35:40   130:16   065:39
05:35:41   131:19   065:27
05:35:42   132:20   065:15
05:35:43   133:20   065:03
05:35:44   134:20   064:50
05:35:45   135:18   064:37
05:35:46   136:15   064:24
05:35:47   137:11   064:10
05:35:48   138:05   063:56
05:35:49   138:59   063:42
05:35:50   139:52   063:27
05:35:51   140:43   063:12
05:35:52   141:34   062:57
05:35:53   142:23   062:42
05:35:54   143:11   062:26
05:35:55   143:59   062:10
05:35:56   144:45   061:54
05:35:57   145:30   061:38
05:35:58   146:15   061:21
05:35:59   146:58   061:05
05:36:00   147:40   060:48
05:36:01   148:22   060:31
05:36:02   149:02   060:14
05:36:03   149:42   059:57
05:36:04   150:21   059:40
05:36:05   150:59   059:22
05:36:06   151:36   059:05
05:36:07   152:12   058:47
05:36:08   152:48   058:29
05:36:09   153:23   058:12
05:36:10   153:57   057:54
05:36:11   154:30   057:36
05:36:12   155:03   057:18
05:36:13   155:34   057:00
05:36:14   156:06   056:42
05:36:15   156:36   056:24
05:36:16   157:06   056:06
05:36:17   157:35   055:48
05:36:18   158:04   055:30
